stock,taxa,variable,year,mean,sd,lower,upper,status
Cynoscion.nebulosus,Cynoscion nebulosus,b_div_bmsy,2019,0.788537716472062,0.139207569758936,0.632310710841231,0.980635447575164,overfished
Lutjanus.purpureus,Lutjanus purpureus,b_div_bmsy,2019,0.848785602644338,0.15732825292472,0.664983735572654,1.0890552767137,fully fished
Lutjanus.synagris,Lutjanus synagris,b_div_bmsy,2019,0.905147818920259,0.161069374290063,0.696877337195979,1.17013749111303,fully fished
Coryphaena.hippurus,Coryphaena hippurus,b_div_bmsy,2019,0.984332355212009,0.161939255224387,0.761439411020201,1.27260482375917,fully fished
Acanthocybium.solandri,Acanthocybium solandri,b_div_bmsy,2019,0.931632050876083,0.160899949513157,0.716051602041367,1.19755198056669,fully fished
Epinephelus.spp,Epinephelus spp,b_div_bmsy,2019,0.802215966828929,0.162569848398021,0.625172207621916,1.04271813545467,fully fished
Epinephelus.morio,Epinephelus morio,b_div_bmsy,2019,0.86306265924178,0.159160052186085,0.664643720060132,1.1112055277606,fully fished
Mugil.curema,Mugil curema,b_div_bmsy,2019,0.87290884755909,0.166723033225232,0.668898536028541,1.1338804394731,fully fished
Callinectes.sapidus,Callinectes sapidus,b_div_bmsy,2019,0.964389324438371,0.162855841480497,0.745030325037224,1.24726822048087,fully fished
Menticirrhus.littoralis,Menticirrhus littoralis,b_div_bmsy,2019,0.816356397007421,0.188239370264631,0.602697317648024,1.08739778671995,fully fished
Octopus.maya,Octopus maya,b_div_bmsy,2019,0.887402767425797,0.162777779655792,0.68043398419142,1.14651857925363,fully fished
Makaira.nigricans,Makaira nigricans,b_div_bmsy,2019,0.872557302421379,0.168207706174979,0.659578949279997,1.13913268123059,fully fished
Ocyurus.chrysurus,Ocyurus chrysurus,b_div_bmsy,2019,0.911035343503616,0.16376600655396,0.697225005600212,1.18778919868707,fully fished
Thunnus.atlanticus,Thunnus atlanticus,b_div_bmsy,2019,0.909706580491304,0.159731510898696,0.706962513056807,1.17353287922532,fully fished
Istiophorus.albicans,Istiophorus albicans,b_div_bmsy,2019,0.914271950075769,0.164495922804267,0.700631529613852,1.18635393863135,fully fished
Pogonias.cromis,Pogonias cromis,b_div_bmsy,2019,0.900588513419604,0.169438907382867,0.689897641883845,1.18210295596824,fully fished
Lutjanidae,Lutjanidae,b_div_bmsy,2019,1.0160608227353,0.15473041575043,0.792254507853373,1.30046399698525,fully fished
Octopus.vulgaris,Octopus vulgaris,b_div_bmsy,2019,0.881127173261384,0.164974946520493,0.676980121224914,1.14645660224493,fully fished
Exocoetidae,Exocoetidae,b_div_bmsy,2019,0.818342582650011,0.179591748006463,0.590386871151452,1.08083771504761,fully fished
Xiphias.gladius,Xiphias gladius,b_div_bmsy,2019,0.914300432977233,0.160800588854829,0.70619465029442,1.18688653617711,fully fished
Caranx.crysos,Caranx crysos,b_div_bmsy,2019,0.87657429749502,0.162902649811167,0.671917130939042,1.13223885236553,fully fished
Lutjanus.campechanus,Lutjanus campechanus,b_div_bmsy,2019,0.871949046981836,0.157373210756318,0.678786674762672,1.11408194751925,fully fished
Centropomus.undecimalis,Centropomus undecimalis,b_div_bmsy,2019,0.897741190353021,0.16219780191624,0.692463579221278,1.15737699317173,fully fished
Centropomus.spp,Centropomus spp,b_div_bmsy,2019,0.877054367070227,0.166697639474266,0.678202002559803,1.13566975957647,fully fished
Rhomboplites.aurorubens,Rhomboplites aurorubens,b_div_bmsy,2019,0.918417851897026,0.160887120593308,0.705554165820613,1.19032045261186,fully fished
Serranidae,Serranidae,b_div_bmsy,2019,0.87472048689578,0.168736842078988,0.672979132357749,1.14862586292294,fully fished
