"","variable","year","mean","sd","lower","upper"
"1","b_t",1961,55876.6947582165,71747.5981390464,11732.8515005456,152458.622996347
"2","b_t",1962,40167.4833631509,58925.9095706652,7227.2858276189,121725.370557358
"3","b_t",1963,46061.9907248458,68242.4277611013,8276.27339210462,134950.797268236
"4","b_t",1964,84906.5994315474,119964.351739362,15183.4483015671,252409.466732438
"5","b_t",1965,74918.8610777299,115726.888155732,13094.3623402735,226099.913133173
"6","b_t",1966,49716.6011846898,68260.7551826303,8748.35086287329,144230.588289737
"7","b_t",1967,68002.5955706377,93241.5280035873,11981.2242631876,196408.995321583
"8","b_t",1968,66876.6266602783,93436.8490873178,11864.3543618141,189636.585939477
"9","b_t",1969,62860.1219028388,85219.7235057626,10937.3514989568,178656.137434167
"10","b_t",1970,47789.9350608471,69884.6977877533,8677.28720716877,136985.166939401
"11","b_t",1971,56614.2219865998,76801.3896888663,9955.86568230531,163753.701273263
"12","b_t",1972,48911.8910819091,66847.740555903,8593.95144609008,142582.867952785
"13","b_t",1973,39463.9197426413,55008.1622311906,7137.09473099291,113591.561928783
"14","b_t",1974,49133.9300934926,72781.2696614013,8590.13870679257,140405.503133466
"15","b_t",1975,48758.2592653372,69687.2819170378,8336.59902685825,143441.175598623
"16","b_t",1976,44240.2425921088,58083.4661092495,7869.9493696286,129213.865412365
"17","b_t",1977,49401.222511746,69069.8088261042,8798.95077855612,140454.473489046
"18","b_t",1978,49060.0346990019,62540.0065145142,8682.49087887333,146880.650758464
"19","b_t",1979,48793.7736441035,63012.2902474212,8928.35284811288,143915.104801234
"20","b_t",1980,55285.8267785995,72597.1806706838,10390.8922920823,169579.093928777
"21","b_t",1981,41833.068501678,59268.9193466862,7737.99977636138,128533.490270902
"22","b_t",1982,42471.0398620065,60511.529480965,7260.70387003084,120441.609705551
"23","b_t",1983,48513.4825187127,63976.8172510405,8440.84484528918,138754.472735612
"24","b_t",1984,57039.1482044109,76606.6916580521,10190.0818500973,166854.093152393
"25","b_t",1985,71524.7643697933,105849.66771379,12343.0110317813,208212.922005856
"26","b_t",1986,65189.7496891934,95943.3401987806,11383.0317666093,186299.220158236
"27","b_t",1987,68323.6662932406,96811.8271500809,12051.0777619566,199409.301234869
"28","b_t",1988,71866.1804478106,94207.1552093149,12617.7881159485,206597.602768261
"29","b_t",1989,81234.2802670045,110868.995924157,14602.1828203461,240587.963281022
"30","b_t",1990,91087.4046757865,120794.304711168,16066.5050044191,263234.372538949
"31","b_t",1991,109940.49826405,146879.530926243,19887.9800743347,324875.675151439
"32","b_t",1992,105313.88884579,150032.157574477,18751.1295889223,315221.091172546
"33","b_t",1993,101177.076059172,142331.389814634,17954.6858544276,312348.511793028
"34","b_t",1994,110862.922480601,154670.685367546,19873.9969918699,334675.554226066
"35","b_t",1995,126105.894590314,179974.29389884,23559.8853860239,353992.695883726
"36","b_t",1996,139798.872682593,205415.916645264,25519.2433258162,396212.441614982
"37","b_t",1997,145130.841582368,196120.125758804,26488.2611279131,430644.072084634
"38","b_t",1998,132181.218476647,182567.953523156,24734.9709547773,387944.209001507
"39","b_t",1999,128104.52037376,172066.723274504,22132.1831459588,385148.066199954
"40","b_t",2000,75135.7787624874,110518.438699819,13292.0839874704,216771.338995282
"41","b_t",2001,68942.2883793545,97622.5406729367,12320.6285721602,200624.128769163
"42","b_t",2002,66173.5134551785,99376.7606653902,11755.518818227,193724.312759208
"43","b_t",2003,60322.0754121398,85103.9124306427,10565.9823942213,175428.226910974
"44","b_t",2004,77045.4714786168,104428.75688865,13637.3825316123,223061.424180588
"45","b_t",2005,75258.4054675763,105516.780168762,13233.6829532544,216204.510785659
"46","b_t",2006,77371.9477447432,99181.6302303046,14063.2727446968,220111.907009973
"47","b_t",2007,87988.5625919488,111654.446371211,15998.1334177048,258962.950290592
"48","b_t",2008,85589.5521664926,121473.746912753,14568.654845282,252109.380318743
"49","b_t",2009,73264.9467074581,92192.2830295041,13402.317315704,211401.967796384
"50","b_t",2010,87357.3616626266,113682.215449303,15974.2544647578,265900.037285695
"51","b_t",2011,96612.8228797917,148864.230033148,17446.4483050063,279865.957280363
"52","b_t",2012,125313.555589855,174647.318701031,22395.6184322889,363442.664634067
"53","b_t",2013,112545.562576352,152898.429760926,20756.960706799,326589.468369267
"54","b_t",2014,111243.050970492,159131.428884396,19109.9385423478,330178.467243028
"55","b_t",2015,81411.0953601717,107961.726411615,13741.7885261696,246236.247044685
"56","b_t",2016,73894.790694367,107406.030849295,11257.0570810178,225427.045297208
"57","b_t",2017,65469.5065751694,101387.353527024,9510.1424209448,208930.600722477
"58","b_t",2018,52926.699398262,75919.3375808667,8346.38791762402,156064.967953645
"59","b_t",2019,40474.7137484511,54249.2805293891,8315.6953590815,119573.548419053
"60","bmsy",1961,42712.2719639304,54504.0426970278,9159.49092195097,117947.506925357
"61","ck",1961,0.00229368988609347,0.00170268151214839,0.00042391819077472,0.00545881919825248
"62","ck",1962,0.00229368988609347,0.00170268151214839,0.00042391819077472,0.00545881919825248
"63","ck",1963,0.00229368988609347,0.00170268151214839,0.00042391819077472,0.00545881919825248
"64","ck",1964,0.0160558292026543,0.0119187705850388,0.00296742733542304,0.0382117343877674
"65","ck",1965,0.00917475954437388,0.00681072604859358,0.00169567276309888,0.0218352767930099
"66","ck",1966,0.00458737977218694,0.00340536302429679,0.000847836381549441,0.010917638396505
"67","ck",1967,0.0114684494304674,0.00851340756074197,0.0021195909538736,0.0272940959912624
"68","ck",1968,0.0114684494304674,0.00851340756074197,0.0021195909538736,0.0272940959912624
"69","ck",1969,0.00917475954437388,0.00681072604859358,0.00169567276309888,0.0218352767930099
"70","ck",1970,0.00867014776943332,0.00643613611592093,0.00160241076112844,0.0206343365693944
"71","ck",1971,0.00867014776943332,0.00643613611592093,0.00160241076112844,0.0206343365693944
"72","ck",1972,0.00867014776943332,0.00643613611592093,0.00160241076112844,0.0206343365693944
"73","ck",1973,0.00637645788333985,0.00473345460377254,0.00117849257035372,0.0151755173711419
"74","ck",1974,0.00876189536487706,0.00650424337640687,0.00161936748875943,0.0208526893373245
"75","ck",1975,0.00731687073663817,0.00543155402375338,0.00135229902857136,0.0174136332424254
"76","ck",1976,0.00837196808424117,0.00621478751934164,0.00154730139632773,0.0199246900736216
"77","ck",1977,0.00880776916259893,0.00653829700664983,0.00162784585257493,0.0209618657212895
"78","ck",1978,0.0101381092965331,0.0075258522836959,0.00187371840322426,0.024127980856276
"79","ck",1979,0.0113308280373017,0.00841124667001307,0.00209415586242712,0.0269665668393673
"80","ck",1980,0.0115601970259111,0.00858151482122791,0.00213654768150459,0.0275124487591925
"81","ck",1981,0.0109638376555268,0.00813881762806932,0.00202632895190316,0.0260931557676469
"82","ck",1982,0.0143584986869451,0.0106587862660489,0.00265372787424975,0.0341722081810605
"83","ck",1983,0.0134868965302296,0.0100117672914326,0.00249263896175536,0.0320978568857246
"84","ck",1984,0.013693328619978,0.0101650086275259,0.00253079159892508,0.0325891506135673
"85","ck",1985,0.0149089842596076,0.0110674298289646,0.00275546824003568,0.0354823247886411
"86","ck",1986,0.0154824067311309,0.0114931002070017,0.00286144778772936,0.0368470295882043
"87","ck",1987,0.0136703917211171,0.0101479818124044,0.00252655241701733,0.0325345624215848
"88","ck",1988,0.0160787661015152,0.0119357974001602,0.00297166651733079,0.0382663225797499
"89","ck",1989,0.0155282805288528,0.0115271538372446,0.00286992615154486,0.0369562059721693
"90","ck",1990,0.020390903087371,0.0151368386429992,0.00376863271598726,0.0485289026724646
"91","ck",1991,0.025987506409439,0.0192913815326413,0.00480299310147758,0.0618484215162006
"92","ck",1992,0.0267673609707108,0.0198702932467718,0.00494712528634099,0.0637044200436065
"93","ck",1993,0.0314923621360634,0.0233778171617974,0.00582039675933691,0.0749495875920066
"94","ck",1994,0.0304143278895994,0.0225775568510877,0.00562115520967279,0.0723839425688279
"95","ck",1995,0.0285335021830028,0.021181358011126,0.00527354229323752,0.0679077108262609
"96","ck",1996,0.0330750081574678,0.0245526674051798,0.00611290031097147,0.0787161728388008
"97","ck",1997,0.0421121463086761,0.0312612325630445,0.00778313798262387,0.100223920479916
"98","ck",1998,0.0354145718412832,0.0262894025475712,0.00654529686556168,0.0842841684210183
"99","ck",1999,0.0373642082444626,0.0277366818328973,0.0069056273277202,0.0889241647395329
"100","ck",2000,0.0222258549962457,0.0164989838527179,0.00410776726860704,0.0528959580310666
"101","ck",2001,0.0264691812855187,0.0196489446501925,0.00489201592154027,0.0629947735478337
"102","ck",2002,0.0221570442996629,0.0164479034073535,0.0040950497228838,0.052732193455119
"103","ck",2003,0.0194504902340726,0.0144387392230184,0.00359482625776963,0.0462907868011811
"104","ck",2004,0.0242672389948689,0.01801437039853,0.00448505445839654,0.0577543071175113
"105","ck",2005,0.0167439361684823,0.0124295750386833,0.00309460279265546,0.0398493801472431
