"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,307681.014119995,166579.613882372,177247.726233208,513667.90882137
"2","b_t",1952,328915.787827199,189800.648244052,177326.953490297,580755.021144739
"3","b_t",1953,393983.080706891,238231.744625429,207299.280685981,707186.414032151
"4","b_t",1954,397979.280964688,251166.968952458,211935.406908771,712418.008492362
"5","b_t",1955,438643.647817747,273588.08700959,228705.312240165,790255.255516813
"6","b_t",1956,363360.058441154,221905.430789928,195435.993087275,655481.708282499
"7","b_t",1957,442213.050429083,271573.741086258,233307.781040084,782044.089141476
"8","b_t",1958,471450.804094658,283522.798825425,252969.642816619,823702.359207918
"9","b_t",1959,455108.398417404,261896.971833433,245394.40633206,823268.352384923
"10","b_t",1960,405967.522829316,232817.239452615,220463.736741577,720991.376251828
"11","b_t",1961,423392.263833772,245774.188714213,223467.389029792,754802.428486848
"12","b_t",1962,474210.62209924,276231.754935897,250596.320892227,845924.550571434
"13","b_t",1963,555333.74054795,337299.2968663,296451.435225868,975872.211328056
"14","b_t",1964,490758.313579463,305638.103728352,263997.117543939,877257.068911338
"15","b_t",1965,486348.154735331,299014.858020308,253197.508137333,863399.384047136
"16","b_t",1966,367897.043579404,225466.87921037,195391.448721874,661782.094445405
"17","b_t",1967,362828.4541366,209844.64032328,193458.804602163,646736.669974347
"18","b_t",1968,330786.195696642,194533.969143136,174747.901702412,595181.388548101
"19","b_t",1969,373222.855994172,221853.249641875,194570.470857429,681189.529661782
"20","b_t",1970,271319.324713824,157633.191518785,146867.905751163,487684.440488709
"21","b_t",1971,327542.27827656,197652.514915968,170401.277941432,589342.362180304
"22","b_t",1972,301165.426428512,180417.927465156,162644.217163366,541998.592330348
"23","b_t",1973,296639.148791406,178967.975555924,159487.660175543,524969.679461705
"24","b_t",1974,340995.343600676,206654.542752854,180593.76876446,595432.184409193
"25","b_t",1975,334251.042944671,199153.939896229,175563.058329567,601651.552153959
"26","b_t",1976,275577.331931145,173084.887978421,143164.824919708,493440.578535338
"27","b_t",1977,310719.37497395,189119.95396884,163591.356194328,535343.600202711
"28","b_t",1978,314686.614025593,192460.53054761,170677.170649649,546069.47619078
"29","b_t",1979,298689.201147655,181544.262381519,160852.806423568,520783.565392429
"30","b_t",1980,335995.435589462,207788.447341737,180600.750907367,598382.78740398
"31","b_t",1981,257523.102143334,155126.812931185,142262.478176078,442141.384542665
"32","b_t",1982,236369.975469794,140466.119457226,129593.618193436,408670.433680573
"33","b_t",1983,259448.798003237,161783.039397022,141360.154316658,451468.498673728
