"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,67659.0649420004,32234.9539271909,32822.5343542012,126858.69879907
"2","b_t",1952,25128.0335325371,15270.0117697893,9008.23289373648,52812.3086604128
"3","b_t",1953,30800.0707530612,18060.0017698094,11116.4377571866,64203.7501879618
"4","b_t",1954,86741.1244982881,52892.2919227711,32639.6646959957,180466.193521521
"5","b_t",1955,124694.12943746,75144.5335417627,47363.8076372835,256147.010470406
"6","b_t",1956,130105.069792493,76696.0155033497,46836.2706480116,276917.876350498
"7","b_t",1957,134560.520413222,81186.9806785961,47798.3358584277,287526.67545678
"8","b_t",1958,115845.926019442,69860.9650001046,43215.4311887542,251378.575167236
"9","b_t",1959,139608.466119738,84518.2521184531,52778.7742275136,295625.479557075
"10","b_t",1960,129409.744212684,81934.996688164,43415.3315158769,263607.84454234
"11","b_t",1961,137234.921697263,79775.7339909478,51701.4449815369,284590.611442573
"12","b_t",1962,157565.29039909,89810.6353274447,58947.0216914972,306524.987481296
"13","b_t",1963,141274.802098149,85152.6642495165,52482.0728901456,296210.839033608
"14","b_t",1964,132933.997985697,80161.9541851038,45979.3879342193,274256.124047075
"15","b_t",1965,134415.636838533,82204.5788361416,50412.0928438066,286795.030730973
"16","b_t",1966,117982.766657645,75035.6442672376,41644.149102508,257012.646403215
"17","b_t",1967,93215.3174632218,61528.4966878838,35106.395399159,199811.409818828
"18","b_t",1968,68595.4734784721,49450.6349034275,21342.870879962,155478.30123186
"19","b_t",1969,42421.2068844471,29119.4169701866,14540.9375833456,95057.6584463437
"20","b_t",1970,33593.8426930197,21146.5866390268,12128.2084891616,73570.2581561656
"21","b_t",1971,50218.7425880534,32410.030510878,16388.9613193591,110193.766699615
"22","b_t",1972,57635.9642706502,38367.554798473,19461.0387460313,128454.481726817
"23","b_t",1973,50622.3052977196,33346.1181866609,18038.6378739814,112940.477661472
"24","b_t",1974,50898.3099658694,35173.0165766728,17462.561391644,112736.677610242
"25","b_t",1975,43237.6450661667,30233.1345694155,14707.9454697412,96897.3866535946
"26","b_t",1976,34200.8660109548,22925.1606510043,12179.6299965412,74133.0823771656
"27","b_t",1977,35913.9722344457,24562.3818199184,12911.0615681505,80065.6743491953
"28","b_t",1978,34824.6941594644,22652.1728795517,12674.2144682006,75078.3756331925
"29","b_t",1979,44077.7732973172,28083.8693814409,15245.1881378338,93102.0101814326
"30","b_t",1980,54095.1588398442,36523.3908216306,17835.6244313415,119724.872891911
"31","b_t",1981,46769.3323519322,31106.3894276046,16348.9716910583,100293.940707397
"32","b_t",1982,34824.9919958017,22651.7853449747,11660.5018345255,75269.4721051912
"33","b_t",1983,20733.8259091565,13705.7796641615,6558.95717113676,44574.202682259
"34","b_t",1984,17870.1944893276,11425.1041273771,6006.74603672696,39168.8585682375
"35","b_t",1985,15849.6057357227,10098.0348381736,5575.97531984596,33168.4140139361
"36","b_t",1986,12577.8085561291,8274.35151112275,4430.93533263678,27246.2684630163
"37","b_t",1987,14533.8544106648,9632.68691981113,5216.3307352274,30298.2240939237
"38","b_t",1988,15818.9056379119,11263.4981216301,5622.05403516408,33580.1236794319
"39","b_t",1989,16645.9952743871,11208.8649966275,5454.88473211216,35977.8970382223
"40","b_t",1990,16354.9386615703,10615.4758141832,5738.44340894898,36677.6327554453
"41","b_t",1991,18035.5084529522,11565.130990229,6123.42511752596,39096.102967659
"42","b_t",1992,22522.2953720373,15321.5493543719,7867.17672082947,48314.5832052172
"43","b_t",1993,23155.361315787,14947.5361990431,8270.74455434167,49918.1723408055
"44","b_t",1994,28320.1996746038,18031.5490448412,9836.00841351896,59970.2896198141
"45","b_t",1995,36743.2805620797,24878.0216515775,12354.3153924564,77258.2675507599
"46","b_t",1996,40983.375078635,28362.6572113899,14146.7766315104,88976.7497626567
"47","b_t",1997,38727.9868400135,26920.6252134764,14155.2632468102,83072.9327591027
"48","b_t",1998,35945.5895498317,24729.2407578673,12579.175278316,75542.2461132873
"49","b_t",1999,34049.5019130814,23081.2032987533,11200.0950324169,75032.455755992
"50","b_t",2000,27143.7670314504,17215.4911664539,9393.01253376135,57357.4103535026
"51","b_t",2001,26632.5856096578,17016.0452610557,9771.80111856675,55334.4865925872
"52","b_t",2002,29306.3560955634,19402.6764540397,9512.32403293732,66009.7724655961
"53","b_t",2003,37279.5320651565,25317.2902991462,13291.9127449748,79215.6974477664
"54","b_t",2004,47896.7636750144,30851.120146025,17541.6519863404,101338.343461037
"55","b_t",2005,68010.3442571091,44428.8331501196,24652.4737311422,145792.869255479
"56","b_t",2006,67634.1824538563,40519.1696166028,25929.8204315156,143437.361849204
"57","b_t",2007,77760.0669661865,50149.0061873009,27459.3205271057,169174.010609945
"58","b_t",2008,77377.8918480852,49204.3664164163,26903.396847463,170889.943065769
"59","b_t",2009,66864.3922657554,44006.9995283116,24744.8561472894,139428.291067479
"60","b_t",2010,80701.1734199131,50121.1983965816,29985.0482256452,173396.851939132
"61","b_t",2011,88851.504062927,54088.4686992311,30513.0274656315,191327.292759156
"62","b_t",2012,106794.240579491,66056.4571708245,37894.8463934869,236020.873187589
"63","b_t",2013,98495.0726620674,65073.7704738824,36418.7834034542,205472.843587796
"64","b_t",2014,96252.4639277888,60030.1864479458,35312.8947949741,206959.785691438
"65","b_t",2015,97603.7296758162,60953.0790727388,37518.5456135156,204074.02631988
"66","b_t",2016,85828.8154794953,62928.3028165453,24945.2112354286,201548.511895091
"67","b_t",2017,76513.1140645607,58905.2627276309,23955.50158099,178873.240034678
"68","b_t",2018,62977.8210030808,52360.989058954,20318.7681215313,148033.489272576
"69","b_t",2019,45791.5299132605,22837.3616757943,20560.9033824747,88486.6215129104
"70","bmsy",1951,51402.0726969474,23921.403268797,25334.7139659961,94653.8999965629
"71","ck",1951,0.00231148328491376,0.000909387175612198,0.00105648059410751,0.00394715385527276
"72","ck",1952,0.00231148328491376,0.000909387175612198,0.00105648059410751,0.00394715385527276
"73","ck",1953,0.00346722492737065,0.0013640807634183,0.00158472089116126,0.00592073078290913
"74","ck",1954,0.0416066991284478,0.0163689691610196,0.0190166506939351,0.0710487693949096
"75","ck",1955,0.0462296656982753,0.018187743512244,0.0211296118821501,0.0789430771054551
"76","ck",1956,0.0635657903351285,0.0250081473293354,0.0290532163379565,0.108546731020001
"77","ck",1957,0.0462296656982753,0.018187743512244,0.0211296118821501,0.0789430771054551
"78","ck",1958,0.0323607659887927,0.0127314204585708,0.0147907283175051,0.0552601539738186
"79","ck",1959,0.0705002401898698,0.027736308856172,0.032222658120279,0.120388192585819
"80","ck",1960,0.0832133982568955,0.0327379383220391,0.0380333013878703,0.142097538789819
"81","ck",1961,0.087836364826723,0.0345567126732635,0.0401462625760853,0.149991846500365
"82","ck",1962,0.0993937812512919,0.0391036485513245,0.0454286655466228,0.169727615776728
"83","ck",1963,0.0566313404803872,0.0222799858024988,0.0258837745556339,0.0967052694541825
"84","ck",1964,0.0647215319775854,0.0254628409171415,0.0295814566350102,0.110520307947637
"85","ck",1965,0.0705002401898698,0.027736308856172,0.032222658120279,0.120388192585819
"86","ck",1966,0.0774346900446111,0.0304644703830086,0.0353920999026015,0.132229654151637
"87","ck",1967,0.0450739240558184,0.0177330499244379,0.0206013715850964,0.0769695001778187
"88","ck",1968,0.039295215843534,0.0154595819854074,0.0179601700998276,0.0671016155396368
"89","ck",1969,0.0138688997094826,0.00545632305367319,0.00633888356464504,0.0236829231316365
"90","ck",1970,0.0150246413519395,0.00591101664147929,0.0068671238616988,0.0256565000592729
"91","ck",1971,0.0242705744915945,0.00954856534392808,0.0110930462381288,0.0414451154803639
"92","ck",1972,0.0369837325586202,0.0145501948097952,0.0169036895057201,0.0631544616843641
"93","ck",1973,0.0323607659887927,0.0127314204585708,0.0147907283175051,0.0552601539738186
"94","ck",1974,0.0281885386595234,0.0110899766065908,0.0128837808451411,0.0481355412650513
"95","ck",1975,0.0217163854617648,0.0085436925148766,0.00992563518164003,0.0370835104702875
"96","ck",1976,0.0179371102909308,0.00705684448275066,0.00819828941027426,0.0306299139169166
"97","ck",1977,0.0193933447604265,0.00762975840338634,0.00886387218456199,0.0331166208457384
"98","ck",1978,0.0170356318098144,0.0067021834842619,0.00778626197857233,0.0290905239133602
"99","ck",1979,0.0367988138958271,0.0144774438357462,0.0168191710581915,0.0628386893759423
"100","ck",1980,0.0337707707925901,0.0132861466356942,0.0154351814799107,0.057667917825535
"101","ck",1981,0.0537535437906696,0.0211477987688617,0.0245684562159701,0.0917910629043679
"102","ck",1982,0.0537882160399433,0.0211614395764958,0.0245843034248817,0.091850270212197
"103","ck",1983,0.0144005408650128,0.00566548210406399,0.00658187410128977,0.0245907685183493
"104","ck",1984,0.0129211915626679,0.00508347431167219,0.00590572652106097,0.0220645900509747
"105","ck",1985,0.00988159104300634,0.00388763017574215,0.00451645453980959,0.016874082731291
"106","ck",1986,0.0071540407668081,0.00281455330851975,0.00326980743876273,0.0122164411820692
"107","ck",1987,0.00995093554155376,0.00391491179101051,0.00454814895763282,0.0169924973469492
"108","ck",1988,0.0119619259994287,0.00470607863379312,0.00546728707450635,0.0204265212010365
"109","ck",1989,0.010910201104793,0.00429230746888957,0.00498658840418743,0.0186305661968874
"110","ck",1990,0.00991626329228005,0.00390127098337633,0.00453230174872121,0.0169332900391201
"111","ck",1991,0.00953486855026928,0.00375122209940032,0.00435798245069347,0.0162820096530001
"112","ck",1992,0.0191275241826614,0.00752517887819094,0.00874237691623962,0.0326626981523821
"113","ck",1993,0.0180526844551765,0.00710231384153126,0.00825111343997963,0.0308272716096802
"114","ck",1994,0.0219937634559545,0.00865281897595006,0.0100524128529329,0.0375571689329203
"115","ck",1995,0.022675651025004,0.00892108819275566,0.0103640746281946,0.0387215793202257
"116","ck",1996,0.0239469668317066,0.00942125113934237,0.0109451389549538,0.0408925139406258
"117","ck",1997,0.0227449955235514,0.00894836980802403,0.0103957690460179,0.0388399939358839
"118","ck",1998,0.022594749110032,0.00888925964160923,0.0103270978074009,0.0385834289352912
"119","ck",1999,0.0251258233070126,0.00988503859890459,0.0114839440579486,0.0429055624068149
"120","ck",2000,0.0255765625475708,0.010062369098149,0.0116899577737996,0.043675257408593
"121","ck",2001,0.0286046056508078,0.0112536662982009,0.0130739473520804,0.0488460289590004
"122","ck",2002,0.0254956606325988,0.0100305405470025,0.0116529809530058,0.0435371070236585
"123","ck",2003,0.0448658905601762,0.0176512050786328,0.0205062883316267,0.0766142563308442
