"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,44509.09885478,35661.8608563872,17571.8982837414,102199.18503528
"2","b_t",1952,52434.8098514825,44395.1312511567,18648.4684225587,123928.119592217
"3","b_t",1953,58653.9059803491,52760.0266615719,19846.5029378689,149628.26429742
"4","b_t",1954,53694.3461153236,47612.4895232387,18300.3269557309,131385.56204989
"5","b_t",1955,53458.8752674412,46615.2847574994,18289.5019318639,128322.861402297
"6","b_t",1956,52631.4616401355,45635.6885067139,17492.3388637721,126340.249118726
"7","b_t",1957,65975.2891152861,58217.3718147241,22366.9383839046,163244.986125285
"8","b_t",1958,69132.1228340289,60103.4656055324,23970.1260251212,165155.477486867
"9","b_t",1959,61795.6789739955,54632.6297530944,21183.5296623252,155649.010974863
"10","b_t",1960,49681.9369718274,43441.4303915387,16980.3943013432,123946.667313533
"11","b_t",1961,54517.3668661205,48951.8061983622,18369.9316740187,136155.024631101
"12","b_t",1962,57149.5164346256,50156.2855926793,18931.7581538927,139673.081621507
"13","b_t",1963,54212.4121957739,48601.4294858008,18150.8978766355,134271.657398448
"14","b_t",1964,45177.2178181226,39692.6853273434,15428.2746124535,110979.928985329
"15","b_t",1965,42737.7353637354,38473.0049208398,14321.7732508617,104777.507775505
"16","b_t",1966,43127.6838886252,38131.4011336743,14483.6887240058,106953.756548818
"17","b_t",1967,51203.4501051354,46322.8804965113,16480.9890205084,126417.737973851
"18","b_t",1968,44898.4085176305,40170.9393750683,14876.5900391634,110742.062062012
"19","b_t",1969,46748.1883321877,43165.0098836869,15226.5965702217,113911.126735765
"20","b_t",1970,35427.9856724757,31186.862126193,12066.3900960316,87004.6249379398
"21","b_t",1971,44602.360326972,40857.9993814259,14641.2323383859,110395.936812579
"22","b_t",1972,38018.0418643515,33799.5077929445,12733.5550271858,93614.2927875649
"23","b_t",1973,32303.985251336,28611.8131624454,10948.6840542913,82379.978268779
"24","b_t",1974,39019.6912446363,34398.1337876725,12949.9021434939,100008.618833904
"25","b_t",1975,46577.9085440926,42282.7899990548,15576.7307232801,113205.466967451
"26","b_t",1976,43941.6302445304,37974.4895055932,14839.1379483359,105695.222491923
"27","b_t",1977,47027.1834432105,42055.0870444782,15295.1291980733,114717.22215558
"28","b_t",1978,41623.4278185709,36376.2801814653,13905.5441347843,101739.190378569
"29","b_t",1979,37679.3710719741,33155.0573999404,12755.2556405675,94834.0931578833
"30","b_t",1980,37845.230835353,34009.5923865177,12469.9805391646,98544.7673711476
"31","b_t",1981,27072.7914716341,23765.3096983101,9324.66723427941,66348.595250214
"32","b_t",1982,25715.0862022177,22754.1873551162,9041.43584087157,61863.3128370869
"33","b_t",1983,33225.6773346086,29512.3087808639,11587.7406908452,80350.7690114098
"34","b_t",1984,35333.4478644691,31065.1146154037,11986.3831474913,89761.7011215237
"35","b_t",1985,44316.7176530512,39985.7528189744,14838.7305752777,111808.956982071
"36","b_t",1986,38306.9493178308,34744.2790074585,12664.2808339307,95205.1818359411
"37","b_t",1987,39869.1976373671,36826.8612328304,13312.1888417704,95361.5611778433
"38","b_t",1988,49517.2304102301,44326.4990798405,16987.1033373807,121287.699361255
