"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,460701.649969125,2406137.32573414,71768.0591488616,1088929.60656659
"2","b_t",1952,436130.688859792,2295539.57418047,60364.725508419,1028615.1098918
"3","b_t",1953,456305.613842898,2372928.7318301,52541.6679948371,1131242.10298338
"4","b_t",1954,561951.824890271,2872967.8298437,63131.9309429868,1349297.91488013
"5","b_t",1955,617127.852123725,3111758.5471963,81038.3004611885,1476399.09228957
"6","b_t",1956,622125.456241004,3019091.94154967,84556.3244557364,1583703.46847579
"7","b_t",1957,835547.338470948,4537905.99220045,104214.460878627,1912247.45231705
"8","b_t",1958,726186.952131863,3940676.14594372,87180.47861669,1725770.06674096
"9","b_t",1959,651658.758906508,3263546.08864202,82967.0551815745,1595940.57153082
"10","b_t",1960,511596.923183829,2742371.09854984,61625.9042124337,1228303.66601984
"11","b_t",1961,560731.105975939,3376346.48779508,67466.2321121548,1290976.57853153
"12","b_t",1962,616512.085507885,3518908.06933605,72033.2485086791,1418670.87985877
"13","b_t",1963,865711.780926969,4679537.51288964,100692.076553496,1975375.92269997
"14","b_t",1964,931335.83340251,4908655.59427609,123408.458328989,2108653.26038812
"15","b_t",1965,955967.770079458,5261796.1245543,120963.242813397,2250077.90188309
"16","b_t",1966,737497.689291904,3865394.02731594,95873.6333629012,1823818.40776917
"17","b_t",1967,713349.27005364,4038642.5728727,92299.253176181,1574160.99864824
"18","b_t",1968,698796.63362392,4452913.23876388,83697.2595163627,1511277.27861599
"19","b_t",1969,777265.526080197,4226535.66878402,105065.042407879,1871457.76329377
"20","b_t",1970,626618.595979219,3515430.62117609,83524.4103512965,1576071.98464192
"21","b_t",1971,851277.11342573,4346116.92223857,118239.715640065,2195010.09300042
"22","b_t",1972,864584.359187417,4415447.22790234,119700.094007633,1998680.97476241
"23","b_t",1973,713821.794410811,3585458.06990679,93523.3431188948,1799079.79373678
"24","b_t",1974,877935.069460405,4876582.05949704,114224.152017287,2076810.25931111
"25","b_t",1975,907015.136270985,5343875.60490636,109502.508425023,1927280.46825232
"26","b_t",1976,725182.701033608,4013997.32009154,90128.8544010403,1697455.67300325
"27","b_t",1977,778032.166225563,4287671.93374347,103142.686581073,1812078.14791509
"28","b_t",1978,735100.899869702,3737274.2701939,92582.1580774005,1688173.423586
