"","variable","year","mean","sd","lower","upper"
"1","b_t",1962,28896.7143212766,18203.5468634741,10425.2006231311,61828.2402063101
"2","b_t",1963,21022.9970805408,14591.8406933368,6960.84316327736,46808.5947581525
"3","b_t",1964,37553.740665202,26273.6675704689,11163.7477228273,82422.7164961029
"4","b_t",1965,67827.1140311666,50216.0858386957,20368.2552982443,158282.016781001
"5","b_t",1966,51033.6322345585,35639.0150018611,15815.9071118977,122788.617023682
"6","b_t",1967,34891.2187305182,24745.2238448172,10695.0300572419,81007.1315298913
"7","b_t",1968,35186.303280505,25400.4001217453,10645.2167203454,81008.1821061625
"8","b_t",1969,26958.9576790521,19026.1393620051,8633.03466682565,61196.1188012277
"9","b_t",1970,38607.8491297065,27594.3772994236,11873.1021291206,86824.3071407214
"10","b_t",1971,54954.7559672583,40611.973071862,15752.7782057241,126395.405746479
"11","b_t",1972,32840.0508883578,23103.0923355569,10136.2667546569,76645.9763278392
"12","b_t",1973,29144.028971498,20227.8778443658,9167.27429187554,66003.760722486
"13","b_t",1974,34763.4786876071,24891.9106883845,10356.7025842285,80565.2522210196
"14","b_t",1975,34693.9108810737,24947.8869254417,10439.2922617224,79677.409985497
"15","b_t",1976,28775.6167089307,20574.9570370146,8873.78112673508,65315.8458378038
"16","b_t",1977,24623.8380681879,17160.4663638707,7942.79766752679,56088.1360138013
"17","b_t",1978,20521.7689027297,14824.2445210312,6284.81301344751,46819.1774401532
"18","b_t",1979,21463.6743698164,15716.7941764401,6495.9907259334,48855.9763265388
"19","b_t",1980,23512.679436343,17073.1517097007,7093.31328077642,54850.2203211895
"20","b_t",1981,20170.6383572681,14716.5067145814,6244.44053983367,46058.4679274815
"21","b_t",1982,19938.9943184169,14614.5610340215,6120.20105127558,45811.4505234857
"22","b_t",1983,24350.8920121328,18016.5302833771,7404.62013377011,54810.9096177498
"23","b_t",1984,31707.2427847582,22081.6861464976,9755.12105528114,70964.4990935373
"24","b_t",1985,43498.5905849911,31029.8662478806,13256.9674758254,101848.769771835
"25","b_t",1986,36892.9293186914,25724.3691389897,11229.5742923986,84900.3645196801
"26","b_t",1987,36829.8221272209,26320.6146333299,11118.5687232746,83592.1647282544
"27","b_t",1988,34043.0712764569,23584.1211565232,10357.2078289003,79656.3388680568
"28","b_t",1989,37173.1435567367,26381.4245389463,11342.2859672497,84598.1837032641
"29","b_t",1990,37591.8308364383,26437.2656737255,11509.0654023937,91794.1635217714
"30","b_t",1991,42435.9058008111,30646.9691306896,12731.5699502484,97294.5542771814
"31","b_t",1992,43118.0143040368,30760.5658446051,13382.7706051483,95904.7615590361
"32","b_t",1993,46728.503699661,33204.2724554689,14932.055563988,108746.364384625
"33","b_t",1994,49540.790738746,35377.5537449253,15060.2902204058,116815.703441959
"34","b_t",1995,53875.0293563115,37806.7859223985,16368.5472187418,123459.245221985
"35","b_t",1996,55217.7886310727,40454.356925954,16858.897446549,126558.389089492
"36","b_t",1997,56260.2013988343,39604.0062748994,17207.0246416471,127768.703167503
"37","b_t",1998,63561.958772531,45577.4748931362,19319.0262442562,144068.803407628
"38","b_t",1999,59624.8227881273,41794.9572884862,18044.1889672517,136300.794019352
"39","b_t",2000,51458.177442552,38465.8669205193,15246.7958423411,117646.199691151
"40","b_t",2001,44044.2815699318,31475.3474039856,13682.9287541848,100364.401140574
"41","b_t",2002,44125.1455318771,31471.1774553161,13544.6461582852,100261.178566991
"42","b_t",2003,39080.2649545083,27787.0011461236,12224.758188189,89064.7889585606
"43","b_t",2004,54632.4744982773,38866.0569462293,17183.6747892912,126463.773427855
"44","b_t",2005,67762.1310271623,48080.5797833153,20850.1350424169,156193.005275385
"45","b_t",2006,68447.2600158319,48216.2884198883,21014.248209473,153838.726040243
"46","b_t",2007,66300.442685103,49598.6792707528,20312.1910381197,151607.454286729
"47","b_t",2008,60811.166974023,42014.9192339478,18351.5701205002,138181.047601362
"48","b_t",2009,53237.4620170747,37366.3015617062,16153.9229179444,122660.570684261
"49","b_t",2010,63719.4920623242,45185.1323020684,20200.3729736938,149009.82141368
"50","b_t",2011,73753.7233390738,52868.5453892683,22896.3603728064,172433.012528417
"51","b_t",2012,69493.9966625741,50216.0599758088,21125.9172664468,160531.538959781
"52","b_t",2013,55723.391613172,38703.3679417796,17467.8566047481,130406.394413028
"53","b_t",2014,51433.9644649545,37370.8777664721,16155.5550550448,116172.327397675
"54","b_t",2015,46405.4405538206,33344.4030109721,14452.2888967421,109714.351780445
"55","b_t",2016,39938.5531807872,30941.9616139254,11097.584620185,94309.1250553368
"56","b_t",2017,32974.4289033128,27965.7977721578,8548.81005283687,81263.5512412368
"57","b_t",2018,26419.1503933528,20215.811913606,7818.78446641286,63434.2403507306
"58","b_t",2019,20225.2491717416,13556.6029226793,6996.15696191785,44382.1422010961
"59","bmsy",1962,21687.1945478819,13463.1873311633,7887.57654882148,46292.4473104083
"60","ck",1962,0.00211893928081733,0.00114580748215473,0.000734461459058521,0.00431057945587113
"61","ck",1963,0.00143340010172937,0.000775105061457609,0.00049684157524547,0.00291598022014812
"62","ck",1964,0.00838227450793913,0.00453267959852385,0.00290544312480503,0.0170521452004314
"63","ck",1965,0.0266425453691002,0.0144068440770925,0.00923477275727993,0.0541991975701443
"64","ck",1966,0.0191950970144628,0.0103796677795193,0.00665335674676542,0.0390487786002443
"65","ck",1967,0.00694887440620976,0.00375757453706624,0.00240860154955956,0.0141361649802833
"66","ck",1968,0.013960070555973,0.00754884929419585,0.00483880490673849,0.0283991117092686
"67","ck",1969,0.0040509133309743,0.00219051430411933,0.00140411749525894,0.00824081366563598
"68","ck",1970,0.0202545666548715,0.0109525715205967,0.00702058747629468,0.0412040683281799
"69","ck",1971,0.0241496756269622,0.0130588352745575,0.0083707004525052,0.0491279276220607
"70","ck",1972,0.00863156148215293,0.00466748047877734,0.0029918503552825,0.0175592721952397
"71","ck",1973,0.0107505007629703,0.00581328796093207,0.00372631181434102,0.0218698516511109
"72","ck",1974,0.0123397052235833,0.00667264357254811,0.00427715790863492,0.0251027862430142
"73","ck",1975,0.0114672008138349,0.00620084049166087,0.00397473260196376,0.0233278417611849
"74","ck",1976,0.01237086609536,0.0066894936825798,0.0042879588124446,0.0251661771173653
"75","ck",1977,0.00844459625149258,0.00456637981858722,0.0029270449324244,0.0171789269491335
"76","ck",1978,0.00688655266265631,0.00372387431700286,0.00238699974194019,0.0140093832315812
"77","ck",1979,0.0106570181476401,0.00576273763083701,0.00369390910291197,0.0216796790280577
"78","ck",1980,0.00888084845636673,0.00480228135903084,0.00307825758575998,0.0180663991900481
"79","ck",1981,0.0115295225573884,0.00623454071172425,0.00399633440958313,0.023454623509887
