"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,69608.0626420712,47523.6487376178,35405.3943641303,142050.943552729
"2","b_t",1952,83922.2725388252,61175.8189603622,39778.1847336007,176584.479655599
"3","b_t",1953,98024.8311786435,74785.1012178598,40430.5185080986,205239.205285098
"4","b_t",1954,109496.261241637,81056.9133411698,52046.5970640571,231080.916971435
"5","b_t",1955,118355.503521596,91506.9100255224,50684.9333932032,252939.157662492
"6","b_t",1956,114852.861823457,84056.4623166012,56931.6864161035,229646.151971326
"7","b_t",1957,136768.234323093,98693.2731239312,65745.7249594364,291376.310015377
"8","b_t",1958,126010.683119377,94323.9321937985,61178.8109015338,254102.876165853
"9","b_t",1959,100205.982757754,74124.0547122496,45284.8918847168,207617.524618125
"10","b_t",1960,79197.0856198705,59536.7180000281,35907.4424817617,165049.911702989
"11","b_t",1961,80277.8473802587,61176.6952917628,38267.2010637751,165435.463636189
"12","b_t",1962,92092.6670535787,73236.0653538194,38868.7026515022,194984.948122417
"13","b_t",1963,90243.0949507416,68003.6418522222,38930.0944047136,200185.436352159
"14","b_t",1964,76358.087531533,58053.8366722512,33883.1764483291,159009.009388801
"15","b_t",1965,58790.451808591,43158.6467301205,27559.1094625102,126990.162960302
"16","b_t",1966,45116.4720410821,33197.6209229812,20901.5896604355,92799.8901424108
"17","b_t",1967,39935.0194521597,29744.6347847289,16234.4488555278,84934.906403251
"18","b_t",1968,32304.3393585306,23528.5781565536,15045.3898154481,68668.8561152814
"19","b_t",1969,32830.1589482502,23659.9027740805,15567.5926755652,69309.7317577024
"20","b_t",1970,31511.1928180874,22994.6418275772,15199.4110914286,65981.1859178631
"21","b_t",1971,43227.5413109477,31467.5225963312,20969.3035685795,92335.510747356
"22","b_t",1972,34226.4360854698,24919.9318097765,16374.3842087361,72897.844449071
"23","b_t",1973,26742.1927685649,19261.8296653959,12650.57694923,54522.1722289225
"24","b_t",1974,28968.9413432131,21703.2130713529,14428.4092320007,61140.6915997848
"25","b_t",1975,27693.5646551822,20415.9089296613,13825.9620438253,58580.8483816874
"26","b_t",1976,21979.7425975121,16257.7831162879,11008.536208956,46206.7239396448
"27","b_t",1977,21757.4927112411,16179.5439523149,10413.1337665281,46707.1274808166
"28","b_t",1978,21808.8653426883,16375.9301938508,10805.7855876734,45444.0724293236
"29","b_t",1979,19949.4126728576,14903.604104938,10040.2830394088,40989.9281696653
"30","b_t",1980,22066.7767231022,15705.495783954,11073.5150473376,45499.7127532558
"31","b_t",1981,17516.0084331674,12028.1868575388,9042.97843600785,34996.5572145989
"32","b_t",1982,16496.5120766918,11767.2442312442,8112.50447436146,33488.6299517737
"33","b_t",1983,22260.64340607,16424.6538899113,10388.0804616698,46800.494699659
"34","b_t",1984,28471.2471753797,20790.477241155,14087.2391073203,59791.7580235818
"35","b_t",1985,34048.8040993768,25115.592428637,15920.6860077908,73128.8121708303
"36","b_t",1986,29738.3343175903,22421.8906286055,14258.2148802451,61019.7182630396
"37","b_t",1987,32246.4321425312,22463.9850738026,16042.8111605418,66202.5291613514
"38","b_t",1988,29767.4335566368,21726.3666098855,14290.9930494831,58499.1481590885
"39","b_t",1989,27957.0578236097,20310.9980736188,13868.4460362413,58029.5010181506
"40","b_t",1990,21960.6797789339,16385.9006867802,10791.9117184338,46645.7416468532
"41","b_t",1991,15241.2402911734,11283.5363974669,7258.78943408014,32352.4226025214
"42","b_t",1992,15965.4301056143,11868.2262677878,7320.68374755049,33357.611303795
"43","b_t",1993,16056.9161293329,11788.929973802,7407.60045857135,32540.313011899
"44","b_t",1994,20697.1728006045,15403.4953897636,9331.15650852118,43359.8544407892
"45","b_t",1995,25515.3202947942,19033.6647556788,12373.8261196717,53700.7404141066
"46","b_t",1996,25384.4423107288,18712.8917919521,12130.6928405921,52230.8540192263
"47","b_t",1997,23518.9613147795,17305.9922228665,11945.797176819,47628.6277268111
"48","b_t",1998,20785.6502978695,15799.5286751418,10689.1567636907,41463.0892243453
"49","b_t",1999,17956.6707874137,13596.8037787866,8690.26651006503,37931.6526764732
"50","b_t",2000,17033.1536984079,12538.1043452314,8969.86151671838,33925.2081168195
"51","b_t",2001,16496.4833875692,12056.0285316146,8456.29394246454,34291.7493498231
"52","b_t",2002,17397.5232636573,12626.4954411499,8380.24410546729,35427.4611845239
"53","b_t",2003,17139.8449356718,12609.4314197637,8483.84697144687,34165.8986754044
"54","b_t",2004,17623.1930450564,13010.6604757698,8386.81855133409,37937.0678598512
"55","b_t",2005,17022.0737777589,12859.9398699153,8099.19276575215,35570.5610124591
