"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,59086.87585418,29302.7266431967,27210.820218871,110557.523512263
"2","b_t",1952,24324.8872033282,13827.1295470274,9597.77315718865,49681.3648352047
"3","b_t",1953,17539.2662724736,10180.950896551,6739.72784882463,35289.236862928
"4","b_t",1954,14517.7959523694,8448.50399529025,5475.14275274419,29211.8485541041
"5","b_t",1955,12767.997208846,7375.40073789631,4972.72852567107,25736.4638445887
"6","b_t",1956,13571.1879686179,8015.31231839971,5206.96531421601,27401.3883972573
"7","b_t",1957,23950.5464016117,14197.996184083,9191.73089535547,48342.2402980339
"8","b_t",1958,32578.392732698,19080.3502942846,12495.1563647765,64728.3417188838
"9","b_t",1959,62276.1985152548,35301.2680522246,25405.9594735441,126830.535196521
"10","b_t",1960,69711.380876304,39670.7020867895,27585.4747471638,142475.890139761
"11","b_t",1961,83710.3051037878,49247.9448210542,33365.5967530676,170221.455374282
"12","b_t",1962,108947.561133749,61940.8291713402,42892.4522191992,220007.415399208
"13","b_t",1963,118777.117930743,70130.113140453,45018.1965716574,244718.080361896
"14","b_t",1964,101291.936778451,57785.0939427002,39814.3546849715,206709.381962105
"15","b_t",1965,107099.680641452,62910.4612702817,41082.4522837092,218701.562064611
"16","b_t",1966,98988.3024217022,57617.7471138921,39074.3218434566,203163.872516763
"17","b_t",1967,128993.742989376,73251.4507871352,52924.1560508222,259428.753230101
"18","b_t",1968,86327.289741295,49477.8951472864,33055.5703949264,177765.819053326
"19","b_t",1969,76325.8300367736,43897.2787031073,29192.655370476,154473.912097954
"20","b_t",1970,64477.124699878,37248.4218494513,25046.4612494792,132453.925249608
"21","b_t",1971,88223.0092178948,52099.917565042,33409.4703713988,181963.62344894
"22","b_t",1972,81981.4411804153,47339.6748223503,31483.3185235786,163668.636990008
"23","b_t",1973,75771.7943474987,43364.7180731845,29624.3129508105,152393.584774494
"24","b_t",1974,89028.1705972554,52352.8122413091,34509.5444099667,186613.727229635
"25","b_t",1975,96491.8164009271,55480.2636608902,37882.930900054,200366.353585221
"26","b_t",1976,82894.758198497,48440.3666658399,31885.7304110437,166629.069066707
"27","b_t",1977,78444.8623958327,44594.9322338044,31155.2238230172,155795.02422183
"28","b_t",1978,74015.3132384896,43695.9679003322,29312.0999948788,152051.2824611
"29","b_t",1979,71326.447338828,40164.1717343773,28381.5337866711,142094.974582661
"30","b_t",1980,100119.361649247,59007.0329195023,37973.9871085741,200416.545825618
"31","b_t",1981,79305.9392577154,45875.0439766703,30488.1574048983,164116.823948523
"32","b_t",1982,67891.5987921973,37711.9643297859,26816.2330748944,139244.625509621
"33","b_t",1983,73716.0604967728,41762.9660686943,29378.099718787,147764.266839453
"34","b_t",1984,77501.5680267518,44432.0317386173,30156.5693403803,163156.401712326
"35","b_t",1985,81070.6856987952,47020.224532924,31317.1791679512,160188.613632165
"36","b_t",1986,90981.3522159971,51039.6221451699,35987.9193919132,181497.082059406
"37","b_t",1987,107137.209185863,60359.6971699505,43199.6364283473,215113.573312457
"38","b_t",1988,100616.570752167,57789.1579683247,39096.4789583756,197345.610673314
"39","b_t",1989,125504.664571195,70684.2158083012,49515.1484625763,250811.613655246
"40","b_t",1990,125602.205210587,71906.5846810527,50739.928677535,252548.855251795
"41","b_t",1991,118159.859836298,68234.9262879179,46105.9618494495,239444.535356669
"42","b_t",1992,88254.1358177426,50155.6612767789,33994.2817676151,180991.352089656
"43","b_t",1993,72754.1162937835,40081.3681716437,28975.0978446497,145413.738754485
"44","b_t",1994,88923.2467867369,49550.3668794462,35102.1922580793,185261.756715779
"45","b_t",1995,110130.935156164,64466.3271089637,43333.708849953,223685.573062791
"46","b_t",1996,126891.24343764,73917.1506528792,50009.9182860423,250784.062634898
"47","b_t",1997,111426.969346817,64970.3513791876,45040.3197455063,228268.232200085
"48","b_t",1998,110239.279799081,61377.3047036608,43664.5711905,223569.054362313
"49","b_t",1999,101958.374156874,59052.5892137226,40077.6269627292,207375.994797389
"50","b_t",2000,75700.3123578355,43480.4160668645,29383.2392651231,154210.530397062
"51","b_t",2001,69997.5267846778,40494.0104109603,26400.3735324159,143076.717547577
"52","b_t",2002,70022.2336676383,40368.3578530197,26535.1102627491,141530.383421935
"53","b_t",2003,62997.8638703328,36306.4622681319,25080.8566317198,124620.579891898
"54","b_t",2004,77262.980257141,43478.361700045,31153.2308234915,155714.235914457
"55","b_t",2005,95516.5725945313,54444.6126228353,38102.2286786192,194886.615204768
"56","b_t",2006,97057.5470894855,55014.1567447961,38020.7992865553,199169.212324516
"57","b_t",2007,108577.692933965,62591.3229186698,43920.7132242144,218005.813787013
"58","b_t",2008,117741.809351085,67666.425196136,45484.3903378984,234241.105976474
"59","b_t",2009,107660.566557968,60195.9648899608,42162.3169600418,217138.893485469
"60","b_t",2010,110348.882424548,63926.5408565932,42501.1294173705,227226.307590057
"61","b_t",2011,113862.934911703,66066.6365418514,44106.4658114948,229823.683265638
"62","b_t",2012,127910.25253214,72975.5588168668,49097.17349288,251980.341756297
"63","b_t",2013,112607.683287061,65129.7866091862,43180.2067559136,229580.720527896
"64","b_t",2014,114016.299585432,67587.8153232751,44046.6892884935,232400.860960673
"65","b_t",2015,103587.194383158,61289.0611362662,40368.9114627486,214840.32104377
"66","b_t",2016,86650.2026787196,57432.6844150878,28586.6017053306,187929.406941027
"67","b_t",2017,72803.0983005247,53058.395723768,23813.3027658202,165270.504210318
"68","b_t",2018,58376.7119230678,38778.3937589338,20834.2408747354,126074.153941993
"69","b_t",2019,44016.3541394098,22763.1727664306,19201.2485017714,86131.287393934
"70","bmsy",1951,47508.3254789694,22719.5974403082,22635.254629307,87089.8875063969
"71","ck",1951,0.00250303097629392,0.001036324989581,0.00113675657075499,0.00437370831437635
"72","ck",1952,0.00223755799395972,0.000926411733110287,0.00101619147991734,0.00390983015982129
"73","ck",1953,0.0019973681528002,0.000826966405827261,0.000907108778683271,0.0034901308771286
