"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,125669.781192307,314877.061449002,18202.1449991283,444411.300228698
"2","b_t",1952,127921.644510436,329553.128805731,16017.2255985511,461747.266302305
"3","b_t",1953,141492.334439656,326085.329676259,16951.5670977589,546200.147000101
"4","b_t",1954,146132.736188771,345483.922679419,16296.3742016853,534272.095260241
"5","b_t",1955,117401.373300717,285121.736731057,13815.8213398504,428847.31545299
"6","b_t",1956,131262.355861403,337973.979604859,15366.5865887308,474288.127145107
"7","b_t",1957,176062.389928483,455311.020988343,20961.1244090402,653673.554379658
"8","b_t",1958,223423.651923417,625466.0336174,26069.2471954459,788318.815485219
"9","b_t",1959,203824.124872499,539876.653455685,24404.8291331352,745841.48261112
"10","b_t",1960,169130.058004711,453318.595109438,20251.2746010292,612003.18880585
"11","b_t",1961,178932.792327115,506579.002652887,21199.2962333268,624357.507246693
"12","b_t",1962,242513.017438842,758003.233718395,28955.8326371399,860041.676581957
"13","b_t",1963,274530.056986575,809321.547969105,31540.0530111316,972096.941769047
"14","b_t",1964,237214.966019324,803959.000941557,28083.7256399374,812019.841397834
"15","b_t",1965,211926.835540427,642332.412518745,24766.2352813624,760820.80140403
"16","b_t",1966,168170.809808038,437469.166123576,19985.3193850832,605439.245668929
"17","b_t",1967,181928.107516297,454906.602090912,21236.940549879,643465.282580743
"18","b_t",1968,166403.56749308,402401.185101426,20025.0760806321,602212.379061731
"19","b_t",1969,190714.69530873,458400.667776134,22989.3662335661,710909.744131943
"20","b_t",1970,180758.428056418,451638.489801666,22095.160328392,656197.105670161
"21","b_t",1971,225912.413656023,562148.935721292,25303.7755284978,801911.583208192
"22","b_t",1972,164739.702713692,455721.447169073,18123.970334108,597171.664222045
"23","b_t",1973,87455.1310115332,247391.688470412,10034.1358870795,315667.096759884
"24","b_t",1974,104705.727074126,330726.351979722,11784.8475897317,358138.798574864
"25","b_t",1975,101667.119153107,282963.816829723,11375.6961224083,372496.286072665
"26","b_t",1976,102552.544645486,285751.711924815,11914.570837132,363617.498844004
"27","b_t",1977,114744.318081001,321317.621581661,13046.7685951946,415611.843159991
"28","b_t",1978,112219.676174513,312224.123944678,13250.17694647,387905.754795696
"29","b_t",1979,98780.4886625825,239223.486628062,11660.8048040654,346621.362929453
"30","b_t",1980,119283.409363514,346131.188671524,13716.6800846796,417073.383414877
"31","b_t",1981,102307.798771226,314546.859295501,12589.7125284052,355391.835820717
"32","b_t",1982,94562.6591966827,253512.611246246,11536.2878871069,332609.273824554
"33","b_t",1983,106607.505496311,277678.523016736,12783.6517046018,376979.827804582
"34","b_t",1984,121296.594716742,316164.407623492,14113.5853016493,449602.981693515
"35","b_t",1985,138175.890982948,420334.195839627,16087.7822874846,492675.271118334
"36","b_t",1986,153134.685579189,418693.765374968,19099.5927552241,558745.239240524
"37","b_t",1987,188351.22806549,533572.484269977,22233.0374294297,682432.664698526
"38","b_t",1988,182892.068773307,500182.108587959,21498.8436456928,654236.342562406
"39","b_t",1989,201182.223855425,536318.879982542,24381.3680958093,746057.497808374
"40","b_t",1990,224809.856219253,684962.969131341,26574.204408413,782210.43616064
"41","b_t",1991,253369.865837435,665412.676022131,30091.2718325647,876334.237900376
"42","b_t",1992,228446.580308026,676716.824846714,26244.740205814,782700.936126956
"43","b_t",1993,182202.135973905,572454.379650657,21691.4564952273,624888.173593525
"44","b_t",1994,183932.993702888,460617.90201904,22317.2703157025,657588.009343625
"45","b_t",1995,243212.511951241,736600.90008842,27784.858682529,891535.407536802
"46","b_t",1996,221977.870005536,640595.892228823,25618.7447731237,789696.402001481
"47","b_t",1997,158702.729979908,436653.952876461,18021.0378488371,571620.350368939
"48","b_t",1998,155416.363730812,462880.47150444,18833.5837905267,563730.875723111
"49","b_t",1999,140751.438095846,395343.30525519,16826.1515353493,506674.229188448
"50","b_t",2000,103561.985833039,271840.38306952,12555.6622123336,373794.572126487
"51","b_t",2001,112939.322902646,321301.204354915,13701.2781970121,393159.744072243
"52","b_t",2002,101394.712868992,314485.486139148,11828.2684394199,348546.407050222
"53","b_t",2003,66260.2796079591,183021.208233325,7892.18823062222,227488.425507288
"54","b_t",2004,70605.6315332423,184562.267462218,8813.11001488595,245601.376698675
"55","b_t",2005,67706.157757163,185500.670813672,8193.5877424214,237108.09834509
"56","b_t",2006,65274.2419229461,181551.97911036,8118.72193101219,226891.728391441
"57","b_t",2007,81303.2288116827,246965.207173995,9855.22831452007,288846.874130561
"58","b_t",2008,85575.7131188726,227224.876838235,10493.5854499404,299809.63022924
"59","b_t",2009,95184.8481984208,264216.50678173,11458.9116247988,325209.996787826
"60","b_t",2010,111468.490047369,310508.228365023,13198.5860309722,411068.416850991
"61","b_t",2011,117838.129569361,356344.756632681,13069.0971896384,413359.633715906
"62","b_t",2012,114597.367405215,406846.276343462,12714.7382285301,394095.855200852
"63","b_t",2013,95982.8484053321,272911.879188261,11143.8881206262,347302.187967777
"64","b_t",2014,89214.8969221311,246303.959211835,10365.8313152364,333142.291723832
"65","b_t",2015,71988.5046204095,225548.572778062,8265.97143888658,252505.062078552
"66","b_t",2016,77706.419493465,192571.909251122,8774.92267859268,276438.940277654
"67","b_t",2017,85814.8899688162,270393.443804455,9355.07472685367,297698.176354717
"68","b_t",2018,88028.976958977,235195.781718976,10232.1853887509,307420.559436187
"69","b_t",2019,83671.9336230848,221208.968633129,11755.1534124021,286526.573383913
"70","bmsy",1951,89413.1798574188,231095.2839792,13857.8458125659,313560.023769353
"71","ck",1951,0.0148418453519185,0.0105757498539315,0.00143513245137139,0.0324725915768154
"72","ck",1952,0.0148418453519185,0.0105757498539315,0.00143513245137139,0.0324725915768154
"73","ck",1953,0.0164909392799094,0.011750833171035,0.00159459161263488,0.0360806573075727
"74","ck",1954,0.0197891271358913,0.014100999805242,0.00191350993516185,0.0432967887690872
"75","ck",1955,0.00989456356794567,0.00705049990262101,0.000956754967580927,0.0216483943845436
